#separator:tab
#html:false
#tags column:9
#columns:Japanese	HiraganaReading	Romaji	Swedish	English	Category	Lesson	Notes	Tags
だいがくせい		daigakusee	universitetsstudent	college student	Skola	Genki I s. 38	Kanji: 大学生. Sammansatt av だいがく (universitet) + せい (student).	Genki-I Kapitel-1 Skola
りゅうがくせい		ryuugakusee	utbytesstudent / internationell student	international student	Skola	Genki I s. 38	Kanji: 留学生. Förekommer i dialogen. Yōon: りゅ (ryu).	Genki-I Kapitel-1 Skola
せんせい		sensee	lärare / professor	teacher; Professor...	Skola	Genki I s. 38	Kanji: 先生. Används även som tilltalsord och hederstitel efter lärarens efternamn.	Genki-I Kapitel-1 Skola
〜ねんせい		... nensee	...-årsstudent / årskurs ...	... year student	Skola	Genki I s. 38	Kanji: 〜年生. Suffix för skolår / årskurs. Förekommer i dialogen.	Genki-I Kapitel-1 Skola
いちねんせい		ichinensee	förstaårsstudent / etta	first-year student	Skola	Genki I s. 38	Kanji: 一年生. いち (1) + ねんせい (årskurs).	Genki-I Kapitel-1 Skola
せんこう		senkoo	huvudämne / studieinriktning	major	Skola	Genki I s. 38	Kanji: 専攻. Förekommer i dialogen.	Genki-I Kapitel-1 Skola
わたし		watashi	jag	I	Människor	Genki I s. 38	Kanji: 私. Standardsättet att säga 'jag' på artig japanska.	Genki-I Kapitel-1 Människor
ともだち		tomodachi	vän / kompis	friend	Människor	Genki I s. 38	Kanji: 友達.	Genki-I Kapitel-1 Människor
〜さん		... san	herr / fru / fröken	Mr./Ms....	Människor	Genki I s. 38	Artighetssuffix efter andras namn (t.ex. Tanaka-san). Sätt ALDRIG efter ditt eget namn!	Genki-I Kapitel-1 Människor
〜じん		... jin	...-medborgare / person från ...	... people	Människor	Genki I s. 38	Kanji: 〜人. Nationalitetssuffix efter ett land (t.ex. にほんじん, アメリカじん). Förekommer i dialogen.	Genki-I Kapitel-1 Människor
にほんじん		nihonjin	japan / japansk person	Japanese people	Människor	Genki I s. 38	Kanji: 日本人. にほん (Japan) + じん (person).	Genki-I Kapitel-1 Människor
いま		ima	nu	now	Tid	Genki I s. 38	Kanji: 今. Tidpunkt.	Genki-I Kapitel-1 Tid
ごぜん		gozen	förmiddag (f.m. / A.M.)	A.M.	Tid	Genki I s. 38	Kanji: 午前. Placeras före klockslaget (t.ex. ごぜんくじ = kl 9 på morgonen).	Genki-I Kapitel-1 Tid
ごご		gogo	eftermiddag (e.m. / P.M.)	P.M.	Tid	Genki I s. 38	Kanji: 午後. Placeras före klockslaget (t.ex. ごごさんじ = kl 3 på eftermiddagen).	Genki-I Kapitel-1 Tid
〜じ		... ji	klockan ...	o'clock	Tid	Genki I s. 38	Kanji: 〜時. Suffix för hela timmar.	Genki-I Kapitel-1 Tid
いちじ		ichiji	klockan ett (1:00)	one o'clock	Tid	Genki I s. 38	Kanji: 一時. いち (1) + じ (klockan).	Genki-I Kapitel-1 Tid
はん		han	halv (om tid)	half	Tid	Genki I s. 38	Kanji: 半. Placeras efter timmen: [timme] + はん.	Genki-I Kapitel-1 Tid
にじはん		niji han	halv tre / 2:30 (ordagrant: två och en halv)	half past two	Tid	Genki I s. 38	Kanji: 二時半. OBS! På japanska betyder det 2:30 (på svenska säger vi 'halv tre').	Genki-I Kapitel-1 Tid
にほん		Nihon	Japan	Japan	Övrigt	Genki I s. 38	Kanji: 日本. Förekommer i dialogen.	Genki-I Kapitel-1 Övrigt
アメリカ	あめりか	Amerika	USA / Amerika	U.S.A.	Övrigt	Genki I s. 38	Skrivs i Katakana: アメリカ (hiragana-läsning: あめりか).	Genki-I Kapitel-1 Övrigt Katakana
〜ご		... go	...-språk	... language	Övrigt	Genki I s. 38	Kanji: 〜語. Suffix för språk. Förekommer i dialogen.	Genki-I Kapitel-1 Övrigt
にほんご		nihongo	japanska (språket)	Japanese language	Övrigt	Genki I s. 38	Kanji: 日本語. にほん (Japan) + ご (språk).	Genki-I Kapitel-1 Övrigt
〜さい		... sai	... år gammal	... years old	Övrigt	Genki I s. 38	Kanji: 〜歳. Räknesuffix för ålder. Förekommer i dialogen.	Genki-I Kapitel-1 Övrigt
でんわ		denwa	telefon	telephone	Övrigt	Genki I s. 38	Kanji: 電話.	Genki-I Kapitel-1 Övrigt
〜ばん		... ban	nummer ...	number...	Övrigt	Genki I s. 38	Kanji: 〜番. Suffix för nummer/ordningsföljd. Förekommer i dialogen.	Genki-I Kapitel-1 Övrigt
ばんごう		bangoo	nummer / telefonnummer	number	Allmänt	Genki I s. 39	Kanji: 番号. でんわばんごう = telefonnummer.	Genki-I Kapitel-1 Allmänt
なまえ		namae	namn	name	Allmänt	Genki I s. 39	Kanji: 名前. おなまえ = namn (artig form när man frågar någon).	Genki-I Kapitel-1 Allmänt
なん / なに		nan/nani	vad	what	Allmänt	Genki I s. 39	Kanji: 何.なん används före d/t/n och räknesuffix (t.ex. なんさい); なに annars.	Genki-I Kapitel-1 Allmänt
あのう		anoo	öhm... / ursäkta (tvekande)	um...	Uttryck	Genki I s. 39	Förekommer i dialogen. Tvekande ljud för att mjukt fånga någons uppmärksamhet.	Genki-I Kapitel-1 Uttryck
はい		hai	ja / uppfattat	yes	Uttryck	Genki I s. 39	Formellt och artigt ja.	Genki-I Kapitel-1 Uttryck
そうです		soo desu	Det stämmer / Det är rätt	That's right.	Uttryck	Genki I s. 39	Bekräftande uttryck.	Genki-I Kapitel-1 Uttryck
そうですか		soo desu ka	Jaha / Är det så? / Jag förstår	I see.; Is that so?	Uttryck	Genki I s. 39	Förekommer i dialogen. Uttrycker att man tar emot ny information med intresse.	Genki-I Kapitel-1 Uttryck
イギリス	いぎりす	Igirisu	Storbritannien / England	Britain	Länder	Genki I s. 39	Katakana (furigana: いぎりす). Kommer från portugisiskans 'inglês'.	Genki-I Kapitel-1 Länder Katakana
オーストラリア	おおすとらりあ	Oosutoraria	Australien	Australia	Länder	Genki I s. 39	Katakana med långt streck ー (furigana: おおすとらりあ).	Genki-I Kapitel-1 Länder Katakana
かんこく		Kankoku	Sydkorea	Korea	Länder	Genki I s. 39	Kanji: 韓国.	Genki-I Kapitel-1 Länder
カナダ	かなだ	Kanada	Kanada	Canada	Länder	Genki I s. 39	Katakana (furigana: かなだ).	Genki-I Kapitel-1 Länder Katakana
ちゅうごく		Chuugoku	Kina	China	Länder	Genki I s. 39	Kanji: 中国. Yōon: ちゅ (chu).	Genki-I Kapitel-1 Länder
インド	いんど	Indo	Indien	India	Länder	Genki I s. 39	Katakana (furigana: いんど).	Genki-I Kapitel-1 Länder Katakana
エジプト	えじぷと	Ejiputo	Egypten	Egypt	Länder	Genki I s. 39	Katakana (furigana: えじぷと). Handakuten ぷ.	Genki-I Kapitel-1 Länder Katakana
フィリピン	ふぃりぴん	Firipin	Filippinerna	Philippines	Länder	Genki I s. 39	Katakana (furigana: ふぃりぴん). Kombinationsljud: フィ (fi).	Genki-I Kapitel-1 Länder Katakana
アジアけんきゅう	あじあけんきゅう	ajia kenkyuu	Asienstudier	Asian studies	Ämnen	Genki I s. 39	Katakana アジア (あじあ) + けんきゅう (forskning/studier).	Genki-I Kapitel-1 Ämnen
けいざい		keezai	ekonomi / nationalekonomi	economics	Ämnen	Genki I s. 39	Kanji: 経済.	Genki-I Kapitel-1 Ämnen
こうがく		koogaku	ingenjörsvetenskap / teknik	engineering	Ämnen	Genki I s. 39	Kanji: 工学. Lång vokal: kōgaku.	Genki-I Kapitel-1 Ämnen
こくさいかんけい		kokusaikankee	internationella relationer	international relations	Ämnen	Genki I s. 39	Kanji: 国際関係. こくさい (internationell) + かんけい (relationer).	Genki-I Kapitel-1 Ämnen
コンピューター	こんぴゅうたあ	konpyuutaa	dator / datavetenskap	computer	Ämnen	Genki I s. 39	Katakana med långa vokaler ー (furigana: こんぴゅうたあ).	Genki-I Kapitel-1 Ämnen Katakana
せいじ		seeji	statsvetenskap / politik	politics	Ämnen	Genki I s. 39	Kanji: 政治.	Genki-I Kapitel-1 Ämnen
せいぶつがく		seebutsugaku	biologi	biology	Ämnen	Genki I s. 39	Kanji: 生物学. せいぶつ (levande varelse) + がく (vetenskap).	Genki-I Kapitel-1 Ämnen
ビジネス	びじねす	bijinesu	företagsekonomi / affärsverksamhet	business	Ämnen	Genki I s. 39	Katakana (furigana: びじねす).	Genki-I Kapitel-1 Ämnen Katakana
ぶんがく		bungaku	litteraturvetenskap / litteratur	literature	Ämnen	Genki I s. 39	Kanji: 文学.	Genki-I Kapitel-1 Ämnen
れきし		rekishi	historia	history	Ämnen	Genki I s. 39	Kanji: 歴史.	Genki-I Kapitel-1 Ämnen
いしゃ		isha	läkare	doctor	Yrken	Genki I s. 39	Kanji: 医者. Yōon: しゃ (sha).	Genki-I Kapitel-1 Yrken
かいしゃいん		kaishain	kontorsanställd / företagsanställd	office worker	Yrken	Genki I s. 39	Kanji: 会社員. かいしゃ (företag) + いん (anställd).	Genki-I Kapitel-1 Yrken
かんごし		kangoshi	sjuksköterska	nurse	Yrken	Genki I s. 40	Kanji: 看護師.	Genki-I Kapitel-1 Yrken
こうこうせい		kookoosee	gymnasieelev / gymnasiestudent	high school student	Yrken	Genki I s. 40	Kanji: 高校生. こうこう (gymnasium) + せい (student).	Genki-I Kapitel-1 Yrken
しゅふ		shufu	hemmafru / hemmaman	housewife	Yrken	Genki I s. 40	Kanji: 主婦.	Genki-I Kapitel-1 Yrken
だいがくいんせい		daigakuinsee	master-/doktorandstuderande	graduate student	Yrken	Genki I s. 40	Kanji: 大学院生. だいがくいん (graduate school) + せい (student).	Genki-I Kapitel-1 Yrken
べんごし		bengoshi	jurist / advokat	lawyer	Yrken	Genki I s. 40	Kanji: 弁護士.	Genki-I Kapitel-1 Yrken
おかあさん		okaasan	mamma / mor (andras eller artig)	mother	Familj	Genki I s. 40	Kanji: お母さん. Artig form som används om andras mamma eller när man ropar på sin egen.	Genki-I Kapitel-1 Familj
おとうさん		otoosan	pappa / far (andras eller artig)	father	Familj	Genki I s. 40	Kanji: お父さん. Artig form som används om andras pappa eller när man ropar på sin egen.	Genki-I Kapitel-1 Familj
おねえさん		oneesan	storasyster (andras eller artig)	older sister	Familj	Genki I s. 40	Kanji: お姉さん. Artig form för storasyster.	Genki-I Kapitel-1 Familj
おにいさん		oniisan	storebror (andras eller artig)	older brother	Familj	Genki I s. 40	Kanji: お兄さん. Artig form för storebror.	Genki-I Kapitel-1 Familj
いもうと		imooto	lillasyster	younger sister	Familj	Genki I s. 40	Kanji: 妹. Lång vokal: imōto (stavas med う).	Genki-I Kapitel-1 Familj
おとうと		otooto	lillebror	younger brother	Familj	Genki I s. 40	Kanji: 弟. Lång vokal: otōto (stavas med う).	Genki-I Kapitel-1 Familj
これ		kore	den här / detta (nära talaren)	this one	Pekord	Genki I s. 58	Självständigt pronomen: sak nära den som talar. Förekommer i dialogen.	Genki-I Kapitel-2 Pekord
それ		sore	den där (nära lyssnaren)	that one	Pekord	Genki I s. 58	Självständigt pronomen: sak nära den som lyssnar. Förekommer i dialogen.	Genki-I Kapitel-2 Pekord
あれ		are	den där borta (långt från båda)	that one (over there)	Pekord	Genki I s. 58	Självständigt pronomen: sak långt från både talare och lyssnare. Förekommer i dialogen.	Genki-I Kapitel-2 Pekord
どれ		dore	vilken / vilket (av tre eller fler)	which one	Pekord	Genki I s. 58	Frågepronomen för val bland föremål. Förekommer i dialogen.	Genki-I Kapitel-2 Pekord
この		kono	den här... / denna... (+ substantiv)	this...	Pekord	Genki I s. 58	Bestämningsord. Måste följas av substantiv (t.ex. この ほん = den här boken).	Genki-I Kapitel-2 Pekord
その		sono	den där... (+ substantiv nära lyssnaren)	that...	Pekord	Genki I s. 58	Bestämningsord. Måste följas av substantiv. Förekommer i dialogen.	Genki-I Kapitel-2 Pekord
あの		ano	den där borta... (+ substantiv långt bort)	that... (over there)	Pekord	Genki I s. 58	Bestämningsord. Måste följas av substantiv. Förekommer i dialogen.	Genki-I Kapitel-2 Pekord
どの		dono	vilken... (+ substantiv)	which...	Pekord	Genki I s. 58	Frågeord. Måste följas av substantiv (t.ex. どの とけい = vilken klocka).	Genki-I Kapitel-2 Pekord
ここ		koko	här (plats nära talaren)	here	Pekord	Genki I s. 58	Platspronomen.	Genki-I Kapitel-2 Pekord
そこ		soko	där (plats nära lyssnaren)	there	Pekord	Genki I s. 58	Platspronomen.	Genki-I Kapitel-2 Pekord
あそこ		asoko	där borta (plats långt från båda)	over there	Pekord	Genki I s. 58	Platspronomen. Förekommer i dialogen.	Genki-I Kapitel-2 Pekord
どこ		doko	var / vilken plats	where	Pekord	Genki I s. 58	Frågeord för plats. Förekommer i dialogen.	Genki-I Kapitel-2 Pekord
だれ		dare	vem	who	Pekord	Genki I s. 58	Kanji: 誰. Frågeord för person. Förekommer i dialogen.	Genki-I Kapitel-2 Pekord
おいしい		oishii	god / läcker / välsmakande	delicious	Mat	Genki I s. 58	Kanji: 美味しい. Ett i-adjektiv. Förekommer i dialogen.	Genki-I Kapitel-2 Mat
さかな		sakana	fisk	fish	Mat	Genki I s. 58	Kanji: 魚. Förekommer i dialogen.	Genki-I Kapitel-2 Mat
とんかつ		tonkatsu	panerad fläskkotlett (tonkatsu)	pork cutlet	Mat	Genki I s. 58	Klassisk japansk maträtt. Förekommer i dialogen.	Genki-I Kapitel-2 Mat
にく		niku	kött	meat	Mat	Genki I s. 58	Kanji: 肉.	Genki-I Kapitel-2 Mat
メニュー	めにゅう	menyuu	meny	menu	Mat	Genki I s. 58	Katakana (furigana: めにゅう). Lång vokal med ー. Förekommer i dialogen.	Genki-I Kapitel-2 Mat Katakana
やさい		yasai	grönsak / grönsaker	vegetable	Mat	Genki I s. 58	Kanji: 野菜.	Genki-I Kapitel-2 Mat
かさ		kasa	paraply	umbrella	Saker	Genki I s. 58	Kanji: 傘.	Genki-I Kapitel-2 Saker
かばん		kaban	väska	bag	Saker	Genki I s. 58	Kanji: 鞄.	Genki-I Kapitel-2 Saker
くつ		kutsu	skor	shoes	Saker	Genki I s. 58	Kanji: 靴.	Genki-I Kapitel-2 Saker
さいふ		saifu	plånbok	wallet	Saker	Genki I s. 58	Kanji: 財布. Förekommer i dialogen.	Genki-I Kapitel-2 Saker
ジーンズ	じいんず	jiinzu	jeans	jeans	Saker	Genki I s. 58	Katakana (furigana: じいんず). Långt streck ー och dakuten: ジ (ji), ズ (zu).	Genki-I Kapitel-2 Saker Katakana
じてんしゃ		jitensha	cykel	bicycle	Saker	Genki I s. 58	Kanji: 自転車. Yōon: しゃ (sha).	Genki-I Kapitel-2 Saker
しんぶん		shinbun	tidning / dagstidning	newspaper	Saker	Genki I s. 58	Kanji: 新聞.	Genki-I Kapitel-2 Saker
スマホ	すまほ	sumaho	smartphone / mobiltelefon	smartphone; mobile	Saker	Genki I s. 58	Katakana (furigana: すまほ). Kortform av スマートフォン (smart phone).	Genki-I Kapitel-2 Saker Katakana
Ｔシャツ	てぃいしゃつ	tiishatsu	T-shirt / t-tröja	T-shirt	Saker	Genki I s. 58	Romaji 'T' + Katakana 'シャツ' (furigana: てぃいしゃつ). Förekommer i dialogen.	Genki-I Kapitel-2 Saker Katakana
とけい		tokee	klocka / armbandsur	watch; clock	Saker	Genki I s. 58	Kanji: 時計. Förekommer i dialogen.	Genki-I Kapitel-2 Saker
ノート	のおと	nooto	anteckningsblock / skrivbok	notebook	Saker	Genki I s. 58	Katakana med långt streck ー (furigana: のおと). Förekommer i dialogen.	Genki-I Kapitel-2 Saker Katakana
