#separator:tab
#html:false
#tags column:9
#columns:Japanese	HiraganaReading	Romaji	Swedish	English	Category	Lesson	Notes	Tags
キス	きす	kisu	kyss	kiss	Katakana · Substantiv (N3)	Plastic Love (竹内まりや)	「突然のキスや熱いまなざしで」 Lånord från engelskans kiss.	PlasticLove Rank-55
派手	はで	hade	prålig, färgstark, iögonfallande	flashy, showy, flamboyant	Stil · Na-adjektiv (N3)	Plastic Love (竹内まりや)	「派手なドレスも靴も」 80-talserans färgsprakande och eleganta mode.	PlasticLove Rank-56
ドレス	どれす	doresu	klänning, aftonklänning	dress, gown	Katakana · Substantiv	Plastic Love (竹内まりや)	「派手なドレスも靴も」 Katakana-lånord.	PlasticLove Rank-57
孤独	こどく	kodoku	ensamhet, isolering	solitude, loneliness	Känsla · Substantiv (N2)	Plastic Love (竹内まりや)	「孤独な友だち」 Sammansatt av 孤 (ensam) + 独 (ensamstående).	PlasticLove Rank-58
皮肉	ひにく	hiniku	ironi, sarkastisk ödets nyck	irony, sarcastic, cynical	Attityd · Na-adjektiv (N2)	Plastic Love (竹内まりや)	「私を誘う人は皮肉なものね」 (Det är en ironisk twist att alla män liknar honom).	PlasticLove Rank-59
ささやく	ささやく	sasayaku	att viska	to whisper, murmur	Verb (N2)	Plastic Love (竹内まりや)	「ささやく声がしても」 Ljudmålande onomatopoetiskt verb.	PlasticLove Rank-60
打ち込む	うちこむ	uchikomu	att knappa in, mata in data	to input, type in data	Handling · Verb (N2)	Plastic Love (竹内まりや)	「出逢いと別れ上手に打ち込んで」 Att skriva in kärleksrelationer i en datormodell.	PlasticLove Rank-61
狂わせる	くるわせる	kuruwaseru	att störa, bringa i oordning, förvilla	to throw into disorder, drive mad	Drama · Verb (N1)	Plastic Love (竹内まりや)	「恋のプログラムを狂わせないでね」 (Krascha inte mitt kärleksprogram!).	PlasticLove Rank-62
夜更け	よふけ	yofuke	sen natt, vargtimmen, nattens timmar	late at night, small hours	Stämning · Substantiv (N2)	Plastic Love (竹内まりや)	「夜更けの高速で眠りにつくころ」 Sammansatt av 夜 (natt) + 更ける (bli sen).	PlasticLove Rank-63
魔術	まじゅつ	majutsu	magi, trollkonst, förtrollning	magic, sorcery, witchcraft	Finess · Substantiv (N2)	Plastic Love (竹内まりや)	「おぼえた魔術なのよ」 (Det är en magisk teknik jag lärt mig för att inte känna smärta).	PlasticLove Rank-64
閉ざす	とざす	tozasu	att stänga till, försluta, låsa	to shut, close off, lock away	Känsla · Verb (N1)	Plastic Love (竹内まりや)	「閉ざした心を飾る」 (Förslöt mitt hjärta för att aldrig såras igen).	PlasticLove Rank-65
まなざし	まなざし	manazashi	blick, uttryck i ögonen	gaze, look in one’s eyes	Poetiskt · Substantiv (N1)	Plastic Love (竹内まりや)	「熱いまなざしで」 Skrivs med kanji 眼差し eller i ren hiragana.	PlasticLove Rank-66
重なり合う	かさなりあう	kasanariau	att sammanflätas, överlappa varandra	to overlap, intertwine	Poetiskt · Verb (N1)	Plastic Love (竹内まりや)	「思い出と重なり合う」 Sammansättning av 重なる (staplas) + 合う (möta/tillsammans).	PlasticLove Rank-67
涙ぐむ	なみだぐむ	namidagumu	att tåras, få tårar i ögonen	to tear up, be moved to tears	Känsla · Verb (N1)	Plastic Love (竹内まりや)	「急に涙ぐんでも わけは尋ねないでね」 (Även om tårarna plötsligt stiger i mina ögon, fråga inte varför).	PlasticLove Rank-68
妖しい	あやしい	ayashii	mystisk, förförisk, förtrollande	bewitching, mysteriously alluring	Poetiskt · I-adjektiv (N1)	Plastic Love (竹内まりや)	「妖しく輝く」 Förtrollande, erotiskt och mystiskt sken från gatljusen.	PlasticLove Rank-69
踊り明かす	おどりあかす	odoriakasu	att dansa natten lång ända till gryningen	to dance the night away until dawn	Nattliv · Sammansatt verb	Plastic Love (竹内まりや)	「はやりのDiscoで踊り明かすうちに」 踊る (dansa) + 明かす (tillbringa natten tills det ljusnar).	PlasticLove Rank-70
