#separator:tab
#html:false
#tags column:9
#columns:Japanese	HiraganaReading	Romaji	Swedish	English	Category	Lesson	Notes	Tags
そこ	そこ	soko	där, hos dig	there	Högfrekvens · Pekord (N5)	Stay With Me (松原みき)	「そこに 貴方を感じていたの」 (Jag kände din närvaro precis där).	StayWithMe Rank-13
いつも	いつも	itsumo	alltid, ständigt	always, at all times	Högfrekvens · Adverb (N5)	Stay With Me (松原みき)	「ふり返ればいつも」 (När jag blickar tillbaka, var du alltid där).	StayWithMe Rank-14
まだ	まだ	mada	fortfarande, ännu	still, yet	Högfrekvens · Adverb (N5)	Stay With Me (松原みき)	「まだ忘れず 大事にしていた」 (Har ännu inte glömt och bevarar det ömt).	StayWithMe Rank-15
置く	おく	oku	att ställa, lägga, placera	to put, place	Högfrekvens · Verb (N5)	Stay With Me (松原みき)	「置いたレコードの針」 (Nålen på vinylskivan som jag lade på).	StayWithMe Rank-16
二人	ふたり	futari	två personer, vi två	two people, the two of us	Högfrekvens · Räkneord (N5)	Stay With Me (松原みき)	「ショーウィンドウに 二人映れば」 (När vi två reflekteras i skyltfönstret). Specialräkneord för 2 personer.	StayWithMe Rank-17
同じ	おなじ	onaji	samma, likadan	same, identical	Högfrekvens · Adjektiv (N5)	Stay With Me (松原みき)	「同じメロディ 繰り返していた」 (Upprepade samma melodi om och om igen).	StayWithMe Rank-18
心	こころ	kokoro	hjärta, själ, sinne	heart, mind, feelings	Högfrekvens · Substantiv (N4)	Stay With Me (松原みき)	「離れていった 貴方の心 / 心に穴があいた」 Betyder känslornas och själens kärna, inte den fysiska muskeln.	StayWithMe Rank-19
貴方	あなた	anata	du, dig	you	Högfrekvens · Pronomen (N5)	Stay With Me (松原みき)	「貴方は貴方と」 (Du är du). Skrivs i modern japanska ofta i Hiragana (あなた), men i sångtexter med kanji 貴方.	StayWithMe Rank-20
冬	ふゆ	fuyu	vinter	winter	Medelfrekvens · Årstid (N5)	Stay With Me (松原みき)	「二度目の冬が来て」 (När den andra vintern kom).	StayWithMe Rank-21
コーヒー	こーひー	koohii	kaffe	coffee	Medelfrekvens · Lånord (N5)	Stay With Me (松原みき)	「見覚えがある コーヒーのしみ」 (En kaffefläck jag känner igen).	StayWithMe Rank-22
ドア	どあ	doa	dörr	door	Medelfrekvens · Lånord (N5)	Stay With Me (松原みき)	「真夜中のドアをたたき」 (Bultar på dörren mitt i natten).	StayWithMe Rank-23
違う	ちがう	chigau	att skilja sig, vara annorlunda	to differ, be different	Medelfrekvens · Verb (N4)	Stay With Me (松原みき)	「恋と愛とは 違うものだよと」 (	StayWithMe Rank-24
忘れる	わすれる	wasureru	att glömma	to forget	Medelfrekvens · Verb (N4)	Stay With Me (松原みき)	「まだ忘れず」 (Utan att ännu ha glömt; -zu är en klassisk nekande form motsvarande -naide).	StayWithMe Rank-25
泣く	なく	naku	att gråta	to cry, weep	Medelfrekvens · Verb (N4)	Stay With Me (松原みき)	「帰らないでと泣いた」 (Grät och ropade	StayWithMe Rank-26
大事	だいじ	daiji	viktig, värdefull	important, precious	Medelfrekvens · Na-adjektiv (N4)	Stay With Me (松原みき)	「大事にしていた」 (Bevarade och vårdade det som något dyrbart).	StayWithMe Rank-27
季節	きせつ	kisetsu	årstid, säsong	season	Medelfrekvens · Substantiv (N4)	Stay With Me (松原みき)	「あの季節が 今 目の前」 (Den årstiden återuppstår nu framför mina ögon).	StayWithMe Rank-28
開く	あく	aku	att öppna sig, bli ett hål	to open, become hollow	Medelfrekvens · Verb (N4)	Stay With Me (松原みき)	「心に穴があいた」 (Det öppnade sig ett tomrum/hål i mitt hjärta).	StayWithMe Rank-29
感じる	かんじる	kanjiru	att känna, förnimma	to feel, sense	Medelfrekvens · Verb (N3)	Stay With Me (松原みき)	「そこに 貴方を感じていたの」 (Jag kände din närvaro där).	StayWithMe Rank-30
昨夜	ゆうべ	yuube	igår kväll	last night, yesterday evening	Medelfrekvens · Substantiv (N3)	Stay With Me (松原みき)	「昨夜言ってた そんな気もするわ」 Kanji läses traditionellt	StayWithMe Rank-31
恋	こい	koi	förälskelse, passion	romantic love, crush	Medelfrekvens · Substantiv (N3)	Stay With Me (松原みき)	「恋と愛とは 違うものだよと」 恋 (koi) handlar om passionerat begär, medan 愛 (ai) är ovillkorlig kärlek.	StayWithMe Rank-32
愛	あい	ai	djup kärlek, omtanke	true love, devotion	Medelfrekvens · Substantiv (N3)	Stay With Me (松原みき)	「恋と愛とは 違うものだよと」 Djup, varaktig kärlek.	StayWithMe Rank-33
離れる	はなれる	hanareru	att glida isär, avlägsna sig	to separate, drift away	Medelfrekvens · Verb (N3)	Stay With Me (松原みき)	「離れていった 貴方の心」 (Ditt hjärta som gradvis gled ifrån mig).	StayWithMe Rank-34
抱く	だく	daku	att omfamna, hålla om	to embrace, hold tight	Medelfrekvens · Verb (N3)	Stay With Me (松原みき)	「二人の瞬間を抱いて」 (Omfamnar minnet av våra gemensamma ögonblick).	StayWithMe Rank-35
たたく	たたく	tataku	att bulta på, knacka	to knock, beat, strike	Vardagligt · Verb (N3)	Stay With Me (松原みき)	「真夜中のドアをたたき」 (Bultade på dörren mitt i natten).	StayWithMe Rank-36
繰り返す	くりかえす	kurikaesu	att upprepa om och om igen	to repeat, reiterate	Vardagligt · Verb (N3)	Stay With Me (松原みき)	「同じメロディ 繰り返していた」 (Spelade samma melodi om och om igen).	StayWithMe Rank-37
振り返る	ふりかえる	furikaeru	att blicka tillbaka, se om	to look back, reflect	Vardagligt · Verb (N3)	Stay With Me (松原みき)	「ふり返ればいつも」 (När jag ser tillbaka i backspegeln).	StayWithMe Rank-38
映る	うつる	utsuru	att reflekteras, speglas	to be reflected	Vardagligt · Verb (N3)	Stay With Me (松原みき)	「ショーウィンドウに 二人映れば」 (När vi två speglades i fönstret).	StayWithMe Rank-39
穴	あな	ana	hål, tomrum	hole, empty void	Vardagligt · Substantiv (N3)	Stay With Me (松原みき)	「心に穴があいた」 (Ett tomt hål slogs upp i hjärtat).	StayWithMe Rank-40
真夜中	まよなか	mayonaka	midnatt, mitt i natten	midnight, dead of night	Vardagligt · Substantiv (N3)	Stay With Me (松原みき)	「真夜中のドアをたたき」 Titeln på låten! Sammansatt av 真 (äkta/mitt) + 夜中 (nattetid).	StayWithMe Rank-41
瞬間	しゅんかん	shunkan	ögonblick, flyktig stund	moment, instant	Vardagligt · Substantiv (N3)	Stay With Me (松原みき)	「二人の瞬間を抱いて」 (Håller fast vid ögonblicken vi delade).	StayWithMe Rank-42
暖める	あたためる	atatameru	att värma, hålla varmt	to warm up, cherish warmly	Vardagligt · Verb (N3)	Stay With Me (松原みき)	「まだ忘れず 暖めてた」 (Har inte glömt, höll minnena varma i hjärtat).	StayWithMe Rank-43
レコード	れこーど	rekoodo	vinylskiva	vinyl record	Katakana · Substantiv	Stay With Me (松原みき)	「置いたレコードの針」 (Vinylskivans nål som jag släppte ner).	StayWithMe Rank-44
ジャケット	じゃけっと	jaketto	jacka, kavaj	jacket	Katakana · Substantiv	Stay With Me (松原みき)	「グレイのジャケットに 見覚えがある」 (Känner igen den där gråa jackan).	StayWithMe Rank-45
相変わらず	あいかわらず	aikawarazu	precis som vanligt, oförändrad	as usual, as ever	Idiomatiskt · Adverb (N3)	Stay With Me (松原みき)	「相変らずなのね」 (Du är verkligen likadan som förr).	StayWithMe Rank-46
針	はり	hari	nål, pickup-nål	needle, stylus	Substantiv (N3)	Stay With Me (松原みき)	「置いたレコードの針」 Syftar här på grammofonens skivspelarnål.	StayWithMe Rank-47
淋しさ	さびしさ	sabishisa	ensamhet, vemod	loneliness, sadness	Känsla · Substantiv (N3)	Stay With Me (松原みき)	「淋しさまぎらわして」 Skrivs med 淋 eller 寂. Substantivering av adjektivet sabishii (さびしい).	StayWithMe Rank-48
口癖	くちぐせ	kuchiguse	favorituttryck, ordstäv man ofta upprepar	pet phrase, habit of saying	Substantiv (N2)	Stay With Me (松原みき)	「口ぐせを言いながら」 (Medan jag upprepade dina stående favorituttryck). 口 (mun) + 癖 (vana/ovana).	StayWithMe Rank-49
グレイ	ぐれい	gurei	grå	grey	Katakana · Färg	Stay With Me (松原みき)	「グレイのジャケットに」 Katakana-lånord från engelskans grey.	StayWithMe Rank-50
見覚え	みおぼえ	mioboe	igenkänning (av något man sett förr)	recognition, remembrance	Substantiv (N2)	Stay With Me (松原みき)	「見覚えがある コーヒーのしみ」 Fraser: 見覚えがある = känna igen något till utseendet.	StayWithMe Rank-51
しみ	しみ	shimi	fläck, spillmärke	stain, spot, smudge	Substantiv	Stay With Me (松原みき)	「コーヒーのしみ」 Kaffefläck på jackan som väcker gamla minnen till liv.	StayWithMe Rank-52
ショーウィンドウ	しょーうぃんどう	shoouindou	skyltfönster	show window, display window	Katakana · Substantiv	Stay With Me (松原みき)	「ショーウィンドウに 二人映れば」 Typisk glamorös stadsmiljö i City Pop-texter.	StayWithMe Rank-53
紛らわす	まぎらわす	magirawasu	att skingra, döva, distrahera från smärta	to distract from, to divert, dispel	Poetiskt · Verb (N1)	Stay With Me (松原みき)	「淋しさまぎらわして 置いたレコードの針」 (För att försöka döva och skingra ensamheten lade jag på en skiva).	StayWithMe Rank-54
